Epochs,N_modes,Loss
1081,2,2.0807024557143402e-03
1082,2,2.0807308610528699e-03
1083,2,2.08075693808496e-03
1084,2,2.0807811524719e-03
1085,2,2.0808051340281998e-03
1086,2,2.0808300469070699e-03
1087,2,2.0808558911085098e-03
1088,2,2.0808812696486698e-03
1089,2,2.0809054840356099e-03
1090,2,2.0809289999306202e-03
1091,2,2.0809522829949899e-03
1092,2,2.08097603172064e-03
1093,2,2.0809997804462901e-03
1094,2,2.0810228306800101e-03
1095,2,2.0810456480830899e-03
1096,2,2.0810679998248798e-03
1097,2,2.0810905843973199e-03
1098,2,2.08111316896975e-03
1099,2,2.0811352878809001e-03
1100,2,2.0811569411307599e-03
1101,2,2.08117836154997e-03
1102,2,2.0811995491385499e-03
1103,2,2.0812207367271198e-03
1104,2,2.0812416914850499e-03
1105,2,2.0812624134123299e-03
1106,2,2.08128266967833e-03
1107,2,2.08130292594433e-03
1108,2,2.0813227165490402e-03
1109,2,2.08134204149246e-03
1110,2,2.08136113360524e-03
1111,3,2.08137952722609e-03
1112,3,2.0814130548387801e-03
1113,3,2.0814477466046801e-03
1114,3,2.0815003663301498e-03
1115,3,2.0815527532249702e-03
1116,3,2.08160607144237e-03
1117,3,2.0816612523049099e-03
1118,3,2.0817171316593898e-03
1119,3,2.0817739423364401e-03
1120,3,2.08183145150542e-03
1121,3,2.0818898919969801e-03
1122,3,2.0819494966417599e-03
1123,3,2.0820104982703898e-03
1124,3,2.0820724312216e-03
1125,3,2.0821355283260302e-03
1126,3,2.0821993239224e-03
1127,3,2.0822633523494001e-03
1128,3,2.08232784643769e-03
1129,3,2.0823944360017798e-03
1130,3,2.08246614784002e-03
1131,3,2.0825436804443602e-03
1132,3,2.0826244726777098e-03
1133,3,2.0827071275562e-03
1134,3,2.0827916450798498e-03
1135,3,2.0828791894018702e-03
1136,3,2.0829695276916001e-03
1137,3,2.0830617286264901e-03
1138,3,2.0831550937145901e-03
1139,3,2.0832507871091401e-03
1140,3,2.0833506714552602e-03
1141,3,2.0834552124142599e-03
1142,3,2.0835623145103498e-03
1143,3,2.08367151208222e-03
1144,3,2.0837835036218201e-03
1145,3,2.08389922045171e-03
1146,3,2.08401796407998e-03
1147,3,2.0841383375227499e-03
1148,3,2.08426127210259e-03
1149,3,2.0843881648033901e-03
1150,3,2.0845201797783401e-03
1151,3,2.08465615287423e-03
1152,3,2.0847949199378499e-03
1153,3,2.0849357824772601e-03
1154,3,2.0850796718150399e-03
1155,3,2.0852275192737601e-03
1156,3,2.0853793248534198e-03
1157,3,2.0855348557233802e-03
1158,3,2.0856941118836399e-03
1159,3,2.0858573261648399e-03
1160,3,2.0860247313976301e-03
1161,3,2.0861965604126501e-03
1162,3,2.0863714162260298e-03
1163,3,2.0865495316684198e-03
1164,3,2.0867309067398301e-03
1165,3,2.0869155414402498e-03
1166,3,2.0871034357696802e-03
1167,3,2.0872936584055402e-03
1168,3,2.0874866750091301e-03
1169,3,2.08768248558044e-03
1170,3,2.0878815557807701e-03
1171,3,2.0880834199488202e-03
1172,3,2.08828714676201e-03
1173,3,2.088492969051e-03
1174,3,2.0887006539851401e-03
1175,3,2.08890973590314e-03
1176,3,2.0891209132969401e-03
1177,3,2.08933465182781e-03
1178,3,2.0895528141409202e-03
1179,3,2.0897760987281799e-03
1180,3,2.0900031086057399e-03
1181,3,2.0902296528220198e-03
1182,3,2.0904541015625e-03
1183,3,2.0906778518110501e-03
1184,3,2.0909034647047498e-03
1185,3,2.0911328028887502e-03
1186,3,2.0913642365485399e-03
1187,3,2.0915959030389799e-03
1188,3,2.09182663820684e-03
1189,3,2.0920580718666302e-03
1190,3,2.0922927651554298e-03
1191,3,2.0925300195813201e-03
