,epochs,Decay,Modes,Loss,Modes_truncated,Loss_truncated,epochs_truncated
128,128.0,0.02270424956163229,1.0,0.00036918653230666036,2.0,0.0019619664435664625,722.0
129,129.0,0.022339381313262623,1.0,0.0003778053040585211,2.0,0.0019624556173987607,723.0
130,130.0,0.021981167774259205,1.0,0.0003864815841821711,2.0,0.0019629523905101576,724.0
131,131.0,0.021629448769467048,1.0,0.0003952128694168769,2.0,0.0019634564392695445,725.0
132,132.0,0.021284075979669016,1.0,0.00040399664866878985,2.0,0.001963967413705873,726.0
133,133.0,0.020944911369675925,1.0,0.00041283040815836864,2.0,0.0019644850378503285,727.0
134,134.0,0.020611825801838096,1.0,0.00042171163629960455,2.0,0.0019650091256026934,728.0
135,135.0,0.020284697844902742,1.0,0.0004306378282955729,2.0,0.0019655394820750427,729.0
136,136.0,0.01996341276366636,1.0,0.00043960649044705405,2.0,0.0019660756931283224,730.0
137,137.0,0.01964786165144508,1.0,0.0004486151441859723,2.0,0.0019666170822378866,731.0
138,138.0,0.019337940684038216,1.0,0.00045766132985056813,2.0,0.001967163079772137,732.0
139,139.0,0.019033550487252658,1.0,0.0004667426102127758,2.0,0.0019677133884775442,733.0
140,140.0,0.01873459556953135,1.0,0.0004758565737670885,2.0,0.001968267737576719,734.0
141,141.0,0.018440983796835914,1.0,0.0004850008377940888,2.0,0.0019688258806015,735.0
142,142.0,0.018152625906039378,1.0,0.0004941730511953197,2.0,0.0019693875972319834,736.0
143,143.0,0.017869435064113804,1.0,0.0005033708970887892,2.0,0.001969952342684153,737.0
144,144.0,0.017591326481225893,1.0,0.0005125920951550808,2.0,0.0019705195614106385,738.0
145,145.0,0.017318217070828465,1.0,0.0005218344037302963,2.0,0.0019710886364561753,739.0
146,146.0,0.017050025160962125,1.0,0.0005310956216494667,2.0,0.0019716592631695883,740.0
147,147.0,0.01678667024547181,1.0,0.0005403735898441446,2.0,0.0019722312564602958,741.0
148,148.0,0.016528072748625847,1.0,0.0005496661927035889,2.0,0.0019728042132183625,742.0
149,149.0,0.0162741538008275,1.0,0.0005589713592064191,2.0,0.001973377592383892,743.0
150,150.0,0.016024835003163502,1.0,0.0005682870638175397,2.0,0.0019739509903492496,744.0
151,151.0,0.015780038185744368,1.0,0.0005776113271448611,2.0,0.0019745239665927956,745.0
152,152.0,0.015539685203960749,1.0,0.0005869422163381938,2.0,0.0019750959294970935,746.0
153,153.0,0.015303697814517445,1.0,0.0005962778452149172,2.0,0.001975666734511489,747.0
154,154.0,0.015071997647146645,1.0,0.0006056163741234061,2.0,0.001976236432535972,748.0
155,155.0,0.01484450629766249,1.0,0.0006149560095839071,2.0,0.001976804844286833,749.0
156,156.0,0.014621145554202523,1.0,0.0006242950037625984,2.0,0.0019773715606914567,750.0
157,157.0,0.01440183769541264,1.0,0.0006336316538581225,2.0,0.001977936150130482,751.0
158,158.0,0.01418650580789717,1.0,0.0006429643014966971,2.0,0.0019784980836851963,752.0
159,159.0,0.013975074077620697,1.0,0.0006522913322019958,2.0,0.0019790574125802428,753.0
160,160.0,0.01376746799504114,1.0,0.0006616111749765453,2.0,0.001979614475635535,754.0
161,161.0,0.013563614472903168,1.0,0.0006709223020023903,2.0,0.0019801695111011193,755.0
162,162.0,0.013363441882444456,1.0,0.0006802232284257968,2.0,0.001980722139840083,756.0
163,163.0,0.013166880012906867,1.0,0.0006895125121834872,2.0,0.0019812721206412943,757.0
164,164.0,0.01297386000597579,1.0,0.0006987887538253035,2.0,0.001981819931464598,758.0
165,165.0,0.012784314285771946,1.0,0.0007080505962854757,2.0,0.0019823659500865253,759.0
166,166.0,0.012598176492397774,1.0,0.0007172967245859148,2.0,0.001982910349708311,760.0
167,167.0,0.012415381409814045,1.0,0.000726525865467988,2.0,0.0019834531418891255,761.0
168,168.0,0.012235864882962123,1.0,0.0007357367869547195,2.0,0.0019839947800536356,762.0
169,169.0,0.012059563727462483,1.0,0.0007449282978386718,2.0,0.0019845357974042238,763.0
170,170.0,0.011886415615614694,1.0,0.0007540992470864428,2.0,0.001985076371109199,764.0
171,171.0,0.011716358981548184,1.0,0.000763248523152402,2.0,0.0019856168332171072,765.0
172,172.0,0.011549332922881713,1.0,0.0007723750531811205,2.0,0.0019861577024446997,766.0
173,173.0,0.011385277156190688,1.0,0.0007814778021096657,2.0,0.0019866984395163,767.0
174,174.0,0.011224131985394315,1.0,0.0007905557716643978,2.0,0.0019872387419376143,768.0
175,175.0,0.011065838341195651,1.0,0.0007996079992924363,2.0,0.0019877801793490185,769.0
176,176.0,0.010910337774997843,1.0,0.000808633557038765,2.0,0.0019883237995165833,770.0
177,177.0,0.010757572566374466,1.0,0.000817631550428344,2.0,0.0019888689207481804,771.0
178,178.0,0.010607485625873832,1.0,0.000826601117321261,2.0,0.0019894148920341346,772.0
179,179.0,0.010460020730356541,1.0,0.0008355414268384894,2.0,0.0019899622251338873,773.0
180,180.0,0.01031512201800518,1.0,0.0008444516781950949,2.0,0.0019905115449329936,774.0
181,181.0,0.01017273431218495,1.0,0.0008533310997214194,2.0,0.001991063283272367,775.0
182,182.0,0.010032798580340318,1.0,0.0008621789474512695,2.0,0.00199161736764242,776.0
